47,x_avt,,x_avt,
14620,475,0,528,0
14640,475,0,527,0
14660,472,0,527,0
14680,469,0,526,0
14700,466,0,526,0
14720,462,0,526,0
14740,459,0,525,0
14760,456,0,526,0
14780,453,0,526,0
14800,450,0,527,0
14820,447,0,527,0
14840,444,0,528,0
14860,440,0,528,0
14880,437,0,529,0
14900,434,0,529,0
14920,431,0,530,0
14940,428,0,531,0
14960,425,0,531,0
14980,419,0,532,0
15000,413,0,533,0
15020,408,0,533,0
15040,402,0,534,0
15060,396,0,535,0
15080,391,0,536,0
15100,385,0,537,0
15120,382,0,537,0
15140,380,0,538,0
15160,377,0,540,0
15180,375,0,541,0
15200,373,0,543,0
15220,371,0,544,0
15240,369,0,545,0
15260,369,0,546,0
15280,369,0,547,0
15300,369,0,546,0
15320,369,0,546,0
15340,371,0,546,0
15360,372,0,546,0
15380,373,0,546,0
15400,375,0,545,0
15420,377,0,545,0
15440,378,0,544,0
15460,380,0,544,0
15480,382,0,543,0
15500,383,0,542,0
15520,385,0,542,0
15540,387,0,541,0
15560,388,0,540,0
15580,390,0,539,0
15600,392,0,539,0
15620,393,0,538,0
15640,395,0,537,0
15660,397,0,537,0
15680,399,0,536,0
15700,400,0,535,0
15720,402,0,534,0
15740,404,0,534,0
15760,406,0,533,0
15780,408,0,532,0
15800,410,0,531,0
15820,411,0,530,0
15840,413,0,530,0
15860,414,0,529,0
15880,415,0,528,0
15900,417,0,527,0
15920,418,0,526,0
15940,420,0,525,0
15960,421,0,524,0
15980,422,0,523,0
16000,423,0,521,0
16020,424,0,520,0
16040,425,0,518,0
16060,426,0,517,0
16080,426,0,515,0
16100,427,0,514,0
16120,427,0,512,0
16140,427,0,511,0
16160,428,0,510,0
16180,428,0,509,0
16200,428,0,508,0
16220,428,0,507,0
16240,428,0,506,0
16260,428,0,505,0
16280,427,0,504,0
16300,427,0,503,0
16320,426,0,502,0
16340,426,0,501,0
16360,425,0,501,0
16380,425,0,500,0
16400,423,0,500,0
16420,421,0,499,0
16440,419,0,498,0
16460,417,0,498,0
16480,415,0,497,0
16500,413,0,497,0
16520,411,0,496,0
16540,409,0,495,0
16560,406,0,494,0
16580,403,0,494,0
16600,400,0,493,0
16620,397,0,492,0
16640,394,0,491,0
16660,392,0,490,0
16680,389,0,489,0
16700,386,0,488,0
16720,383,0,487,0
16740,381,0,485,0
16760,378,0,484,0
16780,376,0,482,0
16800,373,0,481,0
16820,371,0,479,0
16840,368,0,478,0
16860,366,0,477,0
16880,363,0,475,0
16900,361,0,474,0
16920,359,0,472,0
16940,357,0,470,0
16960,354,0,469,0
16980,352,0,467,0
17000,350,0,466,0
17020,348,0,464,0
17040,345,0,462,0
17060,342,0,461,0
17080,339,0,459,0
17100,336,0,457,0
17120,333,0,456,0
17140,330,0,454,0
17160,327,0,453,0
17180,323,0,451,0
17200,320,0,449,0
17220,317,0,446,0
17240,313,0,443,0
17260,309,0,441,0
17280,306,0,439,0
17300,302,0,436,0
17320,298,0,434,0
17340,294,0,432,0
17360,292,0,430,0
17380,289,0,429,0
17400,287,0,427,0
17420,284,0,426,0
17440,282,0,424,0
17460,279,0,423,0
17480,277,0,421,0
17500,274,0,419,0
17520,271,0,417,0
17540,268,0,415,0
17560,265,0,414,0
17580,263,0,412,0
17600,260,0,410,0
17620,257,0,408,0
17640,254,0,406,0
17660,252,0,405,0
17680,250,0,404,0
17700,248,0,403,0
17720,246,0,401,0
17740,245,0,400,0
17760,244,0,399,0
17780,243,0,398,0
17800,242,0,396,0
17820,243,0,395,0
17840,243,0,394,0
17860,243,0,393,0
17880,244,0,392,0
17900,244,0,392,0
17920,244,0,392,0
17940,245,0,393,0
17960,245,0,393,0
17980,245,0,393,0
18000,245,0,394,0
18020,245,0,395,0
18040,245,0,396,0
18060,245,0,397,0
18080,246,0,397,0
18100,246,0,398,0
18120,246,0,399,0
18140,246,0,400,0
18160,246,0,400,0
18180,246,0,401,0
18200,246,0,402,0
18220,246,0,402,0
18240,247,0,403,0
18260,247,0,404,0
18280,248,0,404,0
18300,249,0,405,0
18320,251,0,407,0
18340,252,0,409,0
18360,253,0,410,0
18380,254,0,412,0
18400,256,0,413,0
18420,259,0,415,0
18440,261,0,417,0
18460,263,0,418,0
18480,266,0,420,0
18500,268,0,422,0
18520,270,0,424,0
18540,272,0,425,0
18560,275,0,427,0
18580,278,0,428,0
18600,281,0,429,0
18620,284,0,430,0
18640,286,0,431,0
18660,289,0,432,0
18680,292,0,433,0
18700,295,0,434,0
18720,297,0,436,0
18740,300,0,437,0
18760,302,0,438,0
18780,305,0,439,0
18800,307,0,440,0
18820,310,0,441,0
18840,312,0,442,0
18860,315,0,443,0
18880,317,0,444,0
18900,319,0,445,0
18920,322,0,446,0
18940,324,0,447,0
18960,327,0,448,0
18980,329,0,449,0
19000,331,0,450,0
19020,333,0,450,0
19040,335,0,451,0
19060,336,0,452,0
19080,337,0,452,0
19100,338,0,453,0
19120,339,0,453,0
19140,340,0,454,0
19160,340,0,455,0
19180,340,0,456,0
19200,340,0,457,0
19220,340,0,458,0
19240,339,0,459,0
19260,338,0,460,0
19280,338,0,461,0
19300,337,0,462,0
19320,337,0,464,0
19340,337,0,465,0
19360,337,0,466,0
19380,337,0,468,0
19400,337,0,469,0
19420,337,0,470,0
19440,338,0,471,0
19460,338,0,473,0
19480,339,0,474,0
19500,339,0,475,0
19520,340,0,476,0
19540,341,0,478,0
19560,342,0,479,0
19580,343,0,481,0
19600,345,0,482,0
19620,347,0,483,0
19640,348,0,485,0
19660,350,0,486,0
19680,352,0,487,0
19700,354,0,489,0
19720,355,0,490,0
19740,357,0,491,0
19760,359,0,492,0
19780,361,0,493,0
19800,362,0,494,0
19820,364,0,495,0
19840,366,0,497,0
19860,367,0,498,0
19880,369,0,499,0
19900,371,0,500,0
19920,372,0,501,0
19940,373,0,502,0
19960,374,0,503,0
19980,375,0,504,0
20000,376,0,504,0
20020,376,0,505,0
20040,376,0,506,0
20060,376,0,506,0
20080,375,0,507,0
20100,374,0,507,0
20120,374,0,508,0
20140,373,0,508,0
20160,372,0,508,0
20180,371,0,508,0
20200,369,0,508,0
20220,367,0,508,0
20240,364,0,507,0
20260,362,0,507,0
20280,359,0,507,0
20300,356,0,507,0
20320,354,0,508,0
20340,351,0,507,0
20360,349,0,507,0
20380,346,0,507,0
20400,343,0,507,0
20420,340,0,507,0
20440,337,0,506,0
20460,335,0,506,0
20480,332,0,506,0
20500,329,0,506,0
20520,327,0,506,0
20540,325,0,505,0
20560,323,0,505,0
20580,322,0,505,0
20600,320,0,505,0
20620,319,0,505,0
20640,319,0,504,0
20660,318,0,504,0
20680,319,0,504,0
20700,320,0,504,0
20720,322,0,504,0
20740,323,0,500,0
20760,324,0,496,0
20780,325,0,492,0
20800,327,0,488,0
20820,329,0,484,0
20840,331,0,480,0
20860,333,0,476,0
20880,335,0,474,0
20900,337,0,473,0
20920,339,0,471,0
20940,341,0,470,0
20960,343,0,468,0
20980,345,0,467,0
21000,347,0,466,0
21020,349,0,464,0
21040,351,0,463,0
21060,352,0,462,0
21080,353,0,461,0
21100,354,0,459,0
21120,354,0,458,0
21140,354,0,457,0
21160,354,0,456,0
21180,355,0,454,0
21200,354,0,453,0
21220,352,0,451,0
21240,349,0,450,0
21260,347,0,449,0
21280,344,0,448,0
21300,342,0,446,0
21320,339,0,445,0
21340,336,0,443,0
21360,334,0,441,0
21380,331,0,439,0
21400,328,0,438,0
21420,326,0,436,0
21440,323,0,434,0
21460,320,0,432,0
21480,318,0,430,0
21500,315,0,428,0
21520,313,0,426,0
21540,311,0,424,0
21560,309,0,422,0
21580,307,0,420,0
21600,306,0,418,0
21620,304,0,416,0
21640,303,0,414,0
21660,301,0,412,0
21680,301,0,410,0
21700,301,0,408,0
21720,301,0,406,0
21740,301,0,405,0
21760,301,0,403,0
21780,301,0,401,0
21800,301,0,399,0
21820,301,0,397,0
21840,301,0,396,0
21860,300,0,394,0
21880,300,0,392,0
21900,299,0,390,0
21920,297,0,388,0
21940,296,0,386,0
21960,295,0,384,0
21980,293,0,382,0
22000,292,0,381,0
22020,290,0,379,0
22040,288,0,377,0
22060,287,0,375,0
22080,285,0,373,0
22100,283,0,371,0
22120,281,0,368,0
22140,279,0,365,0
22160,277,0,363,0
22180,275,0,360,0
22200,273,0,357,0
22220,271,0,355,0
22240,268,0,353,0
22260,266,0,352,0
22280,264,0,351,0
22300,261,0,349,0
22320,259,0,348,0
22340,257,0,347,0
22360,255,0,347,0
22380,254,0,346,0
22400,252,0,345,0
22420,250,0,345,0
22440,249,0,345,0
22460,247,0,344,0
22480,246,0,344,0
22500,245,0,343,0
22520,244,0,343,0
22540,244,0,342,0
22560,243,0,341,0
22580,242,0,340,0
22600,242,0,339,0
22620,241,0,339,0
22640,240,0,338,0
22660,239,0,337,0
22680,238,0,337,0
22700,237,0,337,0
22720,236,0,336,0
22740,235,0,336,0
22760,234,0,336,0
22780,233,0,335,0
22800,231,0,336,0
22820,230,0,336,0
22840,229,0,337,0
22860,228,0,338,0
22880,226,0,339,0
22900,225,0,340,0
22920,224,0,340,0
22940,222,0,341,0
22960,221,0,342,0
22980,220,0,342,0
23000,218,0,343,0
23020,216,0,343,0
23040,214,0,343,0
23060,212,0,343,0
23080,210,0,342,0
23100,208,0,342,0
23120,206,0,342,0
23140,204,0,342,0
23160,203,0,342,0
23180,201,0,342,0
23200,200,0,342,0
23220,199,0,342,0
23240,198,0,342,0
23260,197,0,342,0
23280,195,0,343,0
23300,194,0,343,0
23320,193,0,344,0
23340,192,0,344,0
23360,190,0,345,0
23380,189,0,346,0
23400,188,0,346,0
23420,187,0,347,0
23440,186,0,348,0
23460,185,0,349,0
23480,185,0,349,0
23500,185,0,350,0
23520,185,0,351,0
23540,184,0,352,0
23560,184,0,353,0
23580,185,0,355,0
23600,185,0,356,0
23620,185,0,358,0
23640,185,0,359,0
23660,185,0,360,0
23680,186,0,362,0
23700,186,0,363,0
23720,186,0,365,0
23740,187,0,367,0
23760,187,0,368,0
23780,188,0,370,0
23800,189,0,371,0
23820,190,0,373,0
23840,191,0,374,0
23860,192,0,376,0
23880,193,0,378,0
23900,195,0,380,0
23920,196,0,382,0
23940,198,0,384,0
23960,200,0,386,0
23980,202,0,388,0
24000,205,0,390,0
24020,207,0,391,0
24040,209,0,393,0
24060,211,0,394,0
24080,213,0,396,0
24100,215,0,397,0
24120,218,0,399,0
24140,220,0,400,0
24160,222,0,401,0
24180,224,0,402,0
24200,227,0,404,0
24220,229,0,405,0
24240,231,0,406,0
24260,233,0,407,0
24280,235,0,408,0
24300,237,0,408,0
24320,239,0,409,0
24340,241,0,410,0
24360,244,0,410,0
24380,246,0,411,0
24400,248,0,411,0
24420,250,0,412,0
24440,252,0,413,0
24460,254,0,415,0
24480,256,0,417,0
24500,259,0,418,0
24520,261,0,420,0
24540,263,0,422,0
24560,266,0,423,0
24580,268,0,425,0
24600,270,0,427,0
24620,273,0,428,0
24640,275,0,430,0
24660,278,0,432,0
24680,280,0,434,0
24700,282,0,435,0
24720,285,0,437,0
24740,287,0,439,0
24760,289,0,440,0
24780,292,0,442,0
24800,294,0,444,0
24820,296,0,445,0
24840,298,0,447,0
24860,300,0,449,0
24880,302,0,451,0
24900,303,0,456,0
24920,305,0,460,0
24940,307,0,465,0
24960,310,0,470,0
24980,312,0,474,0
25000,314,0,479,0
25020,316,0,483,0
25040,318,0,485,0
25060,321,0,487,0
25080,323,0,488,0
25100,325,0,490,0
25120,327,0,491,0
25140,329,0,493,0
25160,332,0,494,0
25180,334,0,495,0
25200,337,0,497,0
25220,340,0,498,0
25240,343,0,499,0
25260,346,0,501,0
25280,348,0,502,0
25300,351,0,503,0
25320,354,0,504,0
25340,357,0,506,0
25360,360,0,507,0
25380,363,0,508,0
25400,366,0,509,0
25420,369,0,510,0
25440,373,0,511,0
25460,376,0,512,0
